tickers,total_signal,total_retrace,1_candle,2_candle,3_candle,4_candle,5_candle,>5_candle,mean_retrace,std_retrace,95_perct,90_perct,75_perct,ex5_95_perct,ex5_90_perct,ex5_75_perct
BAJAJFINSV,2037,2037,998,95,94,75,60,715,343.9293078,3314.09568,428.8,98.4,11,2571.5,802.4,124.5
BERGEPAINT,1910,1910,887,113,99,72,74,665,167.4617801,1223.86041,296.55,91.1,11.75,1520.6,523,116
BRITANNIA,2269,2262,1090,104,98,82,71,817,504.1741821,5044.874457,332.85,88.9,13,2189.8,591.6,118
COLPAL,2204,2203,982,109,108,85,69,850,309.0962324,2978.999438,501.8,138,16,1420.4,695.7,151.25
DRREDDY,2110,2105,1074,87,100,79,68,697,182.1211401,1576.317109,286.2,72,11,1753.6,598.6,109
GRASIM,2057,2057,948,100,99,70,55,785,648.0121536,8090.110294,480.6,127,16,2580.2,777.6,141
HDFCBANK,1819,1814,854,97,72,64,59,668,320.1157663,2796.187023,549.4,169.8,15,2680.95,971.7,212
HINDUNILVR,2038,2038,904,105,94,90,62,783,337.1810599,2429.814043,412.15,126.6,16,3239.5,669,134
INDIGO,1881,1880,915,93,91,59,53,669,651.6409574,5829.695138,361.65,95.1,12.25,3548.8,737.2,120
ITC,1628,1616,670,89,81,53,56,667,365.4022277,3633.392818,428,123.5,19,2043.4,596.6,117.5
MARICO,2065,2065,881,123,99,78,67,817,407.7501211,3977.900889,358,122.6,17,2324.4,508.8,125
NESTLEIND,2257,2256,1031,135,120,88,57,825,259.4946809,1985.002735,373.75,102,14,2104.4,733.2,138
ONGC,1592,1583,607,95,89,66,56,670,502.9804169,4319.500898,717.6,175,19.5,2803.35,827.8,150.75
PNB,1061,1041,372,74,75,39,34,447,484.3832853,4234.441431,626,203,23,3912.2,821.8,169
SBILIFE,2180,2180,926,122,106,96,70,860,471.9252294,5319.300875,447,131,19,1660.25,662,133.25
TATACONSUM,1889,1888,829,94,108,73,68,716,353.7277542,3952.982505,312.9,106.8,14,1417.25,434,126
TITAN,1914,1914,933,79,90,83,53,676,332.1008359,3683.857025,332,79.4,12.75,2199.25,532,111.25
WIPRO,1929,1927,797,108,118,79,42,783,490.7182148,4671.81009,448.8,116.4,16,2775.6,758.4,106.5
ADANIENT,1878,1877,947,89,90,73,54,624,420.9920085,3199.523099,424.4,96.4,10,3870.3,792.5,162.5
ASIANPAINT,1989,1986,915,98,104,82,72,715,162.887714,1375.588778,351.25,96.5,14,1992.3,599.2,121
BAJAJHLDNG,3036,3036,967,323,226,161,126,1233,323.8099473,3801.383313,245.5,83.5,13,1348.8,307,82
BHARTIARTL,1983,1982,926,95,104,64,68,725,472.4268416,5927.550571,388.9,102.9,14.75,2704.2,817.4,118
DABUR,2008,2007,907,85,110,75,63,767,345.1041355,3987.939745,317,107.4,17,1949,504.6,116.5
EICHERMOT,2358,2351,1117,104,99,97,69,865,710.3632497,7727.82779,545,116,14,3565.6,892,141
